text,label
Regret buying this.,negative
Awful support, no help given.,negative
Awful support, no help given.,negative
Extremely poor experience.,negative
Extremely poor experience.,negative
Amazing support from the team.,positive
Worst experience ever.,negative
Not worth the money at all.,negative
Amazing support from the team.,positive
This ruined my day.,negative
Absolutely fantastic experience.,positive
Couldn't be happier with this.,positive
This made my day so much better.,positive
Awful support, no help given.,negative
Worst experience ever.,negative
Couldn't be happier with this.,positive
Worst experience ever.,negative
Amazing support from the team.,positive
Awful support, no help given.,negative
One star, would not recommend.,negative
Absolutely fantastic experience.,positive
Five stars!,positive
Incredible product, worth every penny.,positive
Superb quality and service.,positive
Five stars!,positive
Couldn't be happier with this.,positive
Couldn't be happier with this.,positive
Not worth the money at all.,negative
Highly recommend to everyone.,positive
Not worth the money at all.,negative
I love this!,positive
Not worth the money at all.,negative
I hate this product.,negative
Terrible service, very disappointed.,negative
Couldn't be happier with this.,positive
This ruined my day.,negative
Low quality and bad design.,negative
Amazing support from the team.,positive
Regret buying this.,negative
Absolutely fantastic experience.,positive
Regret buying this.,negative
I hate this product.,negative
Not worth the money at all.,negative
Couldn't be happier with this.,positive
Not worth the money at all.,negative
Amazing support from the team.,positive
This made my day so much better.,positive
I hate this product.,negative
Awful support, no help given.,negative
One star, would not recommend.,negative
Highly recommend to everyone.,positive
One star, would not recommend.,negative
Terrible service, very disappointed.,negative
Five stars!,positive
Highly recommend to everyone.,positive
Absolutely fantastic experience.,positive
This ruined my day.,negative
This ruined my day.,negative
I love this!,positive
This made my day so much better.,positive
Five stars!,positive
Highly recommend to everyone.,positive
Best purchase I've ever made.,positive
Awful support, no help given.,negative
Highly recommend to everyone.,positive
I love this!,positive
Best purchase I've ever made.,positive
Superb quality and service.,positive
Not worth the money at all.,negative
Amazing support from the team.,positive
Couldn't be happier with this.,positive
Worst experience ever.,negative
Best purchase I've ever made.,positive
Not worth the money at all.,negative
Amazing support from the team.,positive
This made my day so much better.,positive
I hate this product.,negative
I love this!,positive
This ruined my day.,negative
This made my day so much better.,positive
I hate this product.,negative
This made my day so much better.,positive
Superb quality and service.,positive
Incredible product, worth every penny.,positive
Low quality and bad design.,negative
Terrible service, very disappointed.,negative
Amazing support from the team.,positive
This ruined my day.,negative
I hate this product.,negative
Terrible service, very disappointed.,negative
Worst experience ever.,negative
I hate this product.,negative
Amazing support from the team.,positive
Low quality and bad design.,negative
Extremely poor experience.,negative
Not worth the money at all.,negative
Incredible product, worth every penny.,positive
Awful support, no help given.,negative
Amazing support from the team.,positive
Superb quality and service.,positive
